id	name	address
S2-000326	Orbit Apparel LLC	2391 Acme Rd Boulevard, Boise ID
S2-000235	Falcon Foods	9838 Bright Blvd St, Fargo ND
S2-000325	Atlas Logistics Incorporated	275 Silver Ln Road, San Jose CA
S2-000158	Kappa Electronics Incorporated	8338 River Dr Drive, Fargo ND
S2-000054	Delta Foods	3812 Pioneer Ave Street, San Jose CA
S2-000252	Blue Robotics LLC	8032 Bright Dr Road, Dayton OH
S2-000280	Bright Apparel Incorporated	6687 River St Ln, Provo UT
S2-000128	Silver Bakery	8186 Orbit Ave Road, San Jose CA
S2-000334	Bright Electronics Incorporated	4907 Acme St Rd, Reno NV
S2-000112	North Foods Limited	694 Vertex St Dr, Dayton OH
S2-000244	Kappa Hardware	3391 Delta Blvd Rd, Boise ID
S2-000007	Zen Textiles	3614 Golden St Rd, San Jose CA
S2-000227	North Apparel Limited	9892 River St Ln, Tulsa OK
S2-000089	Orbit Electronics	745 Falcon Dr Boulevard, Fargo ND
S2-000149	Union Farms LLC	3028 Kappa Dr Rd, Austin TX
S2-000256	Summit Electronics Incorporated	5146 Vertex St Boulevard, Provo UT
S2-000001	Zen Robotics	7287 North Rd Street, Fargo ND
S2-000085	Summit Electronics Incorporated	4316 Silver Ave Blvd, San Jose CA
S2-000324	Zen Cafe Limited	5235 Summit Ln St, Tulsa OK
S2-000306	Summit Electronics	4314 Harbor Dr Rd, San Jose CA
S2-000337	North Motors Incorporated	9866 Atlas Ave Boulevard, Reno NV
S2-000222	Orbit Consulting LLC	4273 Cedar Ln Lane, Tulsa OK
S2-000083	North Cafe	8349 Maple St Street, Reno NV
S2-000177	Harbor Consulting	1552 Harbor St Avenue, Boise ID
S2-000148	Delta Foods LLC	6214 Union Blvd Dr, Dayton OH
S2-000249	Pioneer Robotics Incorporated	2878 Bright St Ln, Fargo ND
S2-000152	Silver Hardware	6940 Union St Lane, Dayton OH
S2-000297	Union Foods	3679 Acme Rd St, Tulsa OK
S2-000329	Blue Bakery Limited	2268 Kappa Ave Dr, Austin TX
S2-000099	Orbit Textiles Limited	4416 Orbit St Ave, San Jose CA
